GEOID,Census_Tract,NAME,LOWEST_QUINTILE,SECOND_QUINTILE,THIRD_QUINTILE,FOURTH_QUINTILE,HIGHEST_QUINTILE,TOP5_QUINTILE
1400000US53033029503,53033029503,"Census Tract 295.03, King County, Washington",14523,32295,51805,82378,132762,186945
1400000US53033029504,53033029504,"Census Tract 295.04, King County, Washington",10616,28426,46436,70331,132378,187046
1400000US53033029601,53033029601,"Census Tract 296.01, King County, Washington",19526,51195,79430,121947,197737,273586
1400000US53033029602,53033029602,"Census Tract 296.02, King County, Washington",45104,92422,127735,168899,261059,353013
1400000US53033029700,53033029700,"Census Tract 297, King County, Washington",11767,28403,50075,79742,188354,353708
1400000US53033029801,53033029801,"Census Tract 298.01, King County, Washington",27579,53318,77108,129126,237718,365833
1400000US53033029802,53033029802,"Census Tract 298.02, King County, Washington",30907,67067,93619,127498,208847,320739
1400000US53033029901,53033029901,"Census Tract 299.01, King County, Washington",30082,67308,92608,121721,178394,224592
1400000US53033029902,53033029902,"Census Tract 299.02, King County, Washington",29854,81307,108873,149959,238728,299685
1400000US53033030003,53033030003,"Census Tract 300.03, King County, Washington",24212,47269,70924,94286,157154,228501
1400000US53033030004,53033030004,"Census Tract 300.04, King County, Washington",11822,35894,55386,80344,200544,396392
1400000US53033030005,53033030005,"Census Tract 300.05, King County, Washington",18087,44159,66731,97518,171641,269067
1400000US53033030006,53033030006,"Census Tract 300.06, King County, Washington",7794,25507,46889,68923,150466,234755
1400000US53033030100,53033030100,"Census Tract 301, King County, Washington",22550,47950,86626,123625,255733,431050
1400000US53033030201,53033030201,"Census Tract 302.01, King County, Washington",18957,45082,71118,100957,167227,235657
1400000US53033030202,53033030202,"Census Tract 302.02, King County, Washington",18346,42906,65031,95619,162411,226662
1400000US53033030304,53033030304,"Census Tract 303.04, King County, Washington",26799,53053,73790,104184,197201,299448
1400000US53033030305,53033030305,"Census Tract 303.05, King County, Washington",11782,42061,64464,101031,165400,217800
1400000US53033030306,53033030306,"Census Tract 303.06, King County, Washington",31228,64944,94630,133354,235088,372946
1400000US53033030308,53033030308,"Census Tract 303.08, King County, Washington",26286,52008,75515,109865,168970,224783
1400000US53033030309,53033030309,"Census Tract 303.09, King County, Washington",17361,41202,65204,98994,200178,334187
1400000US53033030310,53033030310,"Census Tract 303.10, King County, Washington",31281,61667,91221,135225,223569,320937
1400000US53033030311,53033030311,"Census Tract 303.11, King County, Washington",31120,60954,87127,114672,207210,328433
1400000US53033030312,53033030312,"Census Tract 303.12, King County, Washington",18403,40822,65695,93278,168342,286434
1400000US53033030313,53033030313,"Census Tract 303.13, King County, Washington",12135,32069,49031,62293,110425,164033
1400000US53033030314,53033030314,"Census Tract 303.14, King County, Washington",3468,20665,43737,79307,167772,249060
1400000US53033030401,53033030401,"Census Tract 304.01, King County, Washington",26514,57459,80833,111485,192920,281773
1400000US53033030403,53033030403,"Census Tract 304.03, King County, Washington",20192,50087,84588,121199,210000,287254
1400000US53033030404,53033030404,"Census Tract 304.04, King County, Washington",32289,58655,93765,141877,211568,310288
1400000US53033030501,53033030501,"Census Tract 305.01, King County, Washington",7098,16944,32095,55984,152801,341170
1400000US53033030503,53033030503,"Census Tract 305.03, King County, Washington",14655,32411,53345,74274,143090,223340
1400000US53033030504,53033030504,"Census Tract 305.04, King County, Washington",13080,36509,61319,86603,159559,235795
1400000US53033030600,53033030600,"Census Tract 306, King County, Washington",25597,49072,64476,89410,157826,229076
1400000US53033030700,53033030700,"Census Tract 307, King County, Washington",14947,33887,54765,82116,177590,345885
1400000US53033030801,53033030801,"Census Tract 308.01, King County, Washington",17975,34211,52411,68947,116508,156332
1400000US53033030802,53033030802,"Census Tract 308.02, King County, Washington",14679,37687,55090,92025,150570,192216
1400000US53033030901,53033030901,"Census Tract 309.01, King County, Washington",28222,55186,82788,110510,157562,206477
1400000US53033030902,53033030902,"Census Tract 309.02, King County, Washington",26804,42027,57407,76034,140593,217194
1400000US53033031000,53033031000,"Census Tract 310, King County, Washington",41175,84319,121643,162630,278655,417973
